serial,serial_norm,relation_type,color,cycle_id,points_used,slope_pct_per_day,level_now_pct,days_left_est,last_seen,stockout_date,offset_days,reorder_date,should_order_now,rs_n_cycles,rs_mean_cycle_len_days,rs_max_cycle_len_days,rs_last_seen,rs_last_reset,rs_days_since_last_reset,rs_has_reset,us_mean_daily_pct_drop,us_median_daily_pct_drop,us_peak_daily_pct_drop,us_mean_pct_drop_per_cycle,us_has_usage_data,m_total_pages,m_n_records,m_ratio_color,m_ratio_a3,m_daily_mean,m_daily_std,m_total_pages_last30,m_total_pages_last7,month,dayofweek,week,ml_offset_days_v21,last_seen_dt,stockout_date_ml_v21,days_left_ml_v21,reference_date,days_left_v21,contract_no
$3942053508$,$3942053508$,contrat_adex,cyan,2,29,-0.9066,1.0,1.1,2026-01-26 13:01:00,2026-01-27,1,2026-01-26,True,3,45.66666666666666,67,2026-01-26 13:01:00,2025-11-20 14:41:00,66.0,1,2.317204301075269,2.0,9.0,73.0,1.0,,,,,,,,,1,0,5,-0.85001683,2026-01-26 13:01:00,2026-01-26 03:35:58.545684814,0.0,2026-01-26 13:01:00,0.0,$STCT000355$
$3942059506$,$3942059506$,contrat_adex,cyan,0,101,-0.2378,18.0,75.7,2025-11-13 10:29:00,2026-01-28,1,2026-01-27,False,1,28.0,28,2025-11-13 10:29:00,,,0,0.25,0.0,2.0,6.0,1.0,,,,,,,,,11,3,46,-0.07043282,2025-11-13 10:29:00,2026-01-27 22:18:34.604401585,75.0,2025-11-13 10:29:00,0.0,$CT001433$
$3942059506$,$3942059506$,contrat_adex,magenta,0,101,-0.2384,9.0,37.7,2025-11-13 10:29:00,2025-12-21,-8,2025-12-29,False,1,28.0,28,2025-11-13 10:29:00,,,0,0.2777777777777778,0.0,1.0,7.0,1.0,,,,,,,,,11,3,46,-3.4718313,2025-11-13 10:29:00,2025-12-17 12:40:33.773803712,34.0,2025-11-13 10:29:00,0.0,$CT001433$
$3942059506$,$3942059506$,contrat_adex,yellow,0,101,-0.2613,21.0,80.4,2025-11-13 10:29:00,2026-02-01,-11,2026-02-12,False,1,28.0,28,2025-11-13 10:29:00,,,0,0.3055555555555556,0.0,1.0,7.0,1.0,,,,,,,,,11,3,46,-3.4371247,2025-11-13 10:29:00,2026-01-28 13:30:32.423400879,76.0,2025-11-13 10:29:00,1.0,$CT001433$
$3990116660$,$3990116660$,contrat_adex,cyan,0,17,-0.181,1.0,5.5,2026-01-26 14:45:00,2026-02-01,1,2026-01-31,True,1,18.0,18,2026-01-26 14:45:00,,,0,0.2,0.0,1.0,3.0,1.0,,,,,,,,,1,0,5,0.33418736,2026-01-26 14:45:00,2026-02-01 08:01:13.787784577,5.0,2026-01-26 14:45:00,5.0,$STCT000249$
$3990160588$,$3990160588$,contrat_adex,black,1,22,-0.9993,1.0,1.0,2026-01-26 14:27:00,2026-01-27,0,2026-01-27,True,2,42.0,74,2026-01-26 14:27:00,2025-11-14 14:27:00,73.0,1,0.7,1.0,2.0,34.0,1.0,,,,,,,,,1,0,5,-2.878972,2026-01-26 14:27:00,2026-01-24 02:54:16.814575199,0.0,2026-01-26 14:27:00,0.0,$STCT000297$
$3990243181$,$3990243181$,contrat_adex,black,0,29,-0.6509,4.0,6.1,2026-01-26 14:30:00,2026-02-01,0,2026-02-01,True,1,118.0,118,2026-01-26 14:30:00,,,0,0.7086956521739131,0.0,4.0,83.0,1.0,,,,,,,,,1,0,5,-3.4008076,2026-01-26 14:30:00,2026-01-28 14:22:50.221710210,1.0,2026-01-26 14:30:00,1.0,$STCT000412$
$3990261589$,$3990261589$,contrat_adex,cyan,0,20,-1.443,14.0,9.7,2026-01-26 14:35:00,2026-02-05,1,2026-02-04,False,1,118.0,118,2026-01-26 14:35:00,,,0,0.6547619047619048,0.0,21.0,0.0,1.0,,,,,,,,,1,0,5,1.1938088,2026-01-26 14:35:00,2026-02-06 04:39:05.079803466,10.0,2026-01-26 14:35:00,10.0,$CT001247$
$3990353203$,$3990353203$,contrat_adex,yellow,1,26,-0.1221,1.0,8.2,2026-01-26 14:37:00,2026-02-03,-11,2026-02-14,False,2,109.0,217,2026-01-26 14:37:00,2025-06-24 14:37:00,216.0,1,0.3974358974358974,0.0,11.0,37.0,1.0,,,,,,,,,1,0,5,-8.514459,2026-01-26 14:37:00,2026-01-25 11:39:10.772094730,0.0,2026-01-26 14:37:00,0.0,$STCT000633$
$3MU04986$,$3MU04986$,contrat_adex,yellow,3,503,-1.821,77.0,42.3,2025-05-30 14:54:00,2025-07-11,-11,2025-07-22,False,4,202.25,424,2025-05-30 14:54:00,2025-04-11 14:45:00,49.0,1,0.1142857142857142,0.0,3.0,49.5,1.0,,,,,,,,,5,4,22,-10.127605,2025-05-30 14:54:00,2025-06-30 20:56:14.890136721,31.0,2025-05-30 14:54:00,0.0,$$
$3MV01171$,$3MV01171$,contrat_adex,cyan,2,29,-0.135,1.0,7.4,2026-01-26 14:45:00,2026-02-03,1,2026-02-02,True,3,280.0,428,2026-01-26 14:45:00,2024-12-13 14:45:00,409.0,1,0.2108938547486033,0.0,3.0,59.66666666666666,1.0,,,,,,,,,1,0,5,-0.6645209,2026-01-26 14:45:00,2026-02-02 08:03:05.392570493,6.0,2026-01-26 14:45:00,6.0,$CT002842$
$3MV01317$,$3MV01317$,contrat_adex,black,3,29,-0.5824,1.0,1.7,2026-01-26 14:45:00,2026-01-28,0,2026-01-28,True,4,218.25,607,2026-01-26 14:45:00,2025-10-03 14:45:00,115.0,1,0.3337982333798233,0.0,9.0,70.75,1.0,,,,,,,,,1,0,5,-0.38543457,2026-01-26 14:45:00,2026-01-27 14:44:58.453330995,0.0,2026-01-26 14:45:00,0.0,$CT002840$
$3NP03076$,$3NP03076$,contrat_adex,cyan,1,258,-0.3042,47.0,154.5,2025-06-09 10:42:00,2025-11-10,1,2025-11-09,False,2,443.0,760,2025-06-09 10:42:00,2025-02-03 14:42:00,125.0,1,0.1801517067003792,0.0,7.0,75.5,1.0,,,,,,,,,6,0,24,0.48616394,2025-06-09 10:42:00,2025-11-10 11:40:04.564762118,154.0,2025-06-09 10:42:00,0.0,$$
$3NP03120$,$3NP03120$,contrat_adex,black,3,328,-0.3688,2.0,5.4,2025-03-28 08:32:00,2025-04-02,0,2025-04-02,True,4,192.5,316,2025-03-28 08:32:00,2024-10-08 14:37:00,170.0,1,0.5785103946441156,0.0,100.0,98.5,1.0,,,,,,,,,3,4,13,-0.046327926,2025-03-28 08:32:00,2025-04-01 22:53:17.267174722,4.0,2025-03-28 08:32:00,0.0,$CT003201$
$3NP03120$,$3NP03120$,contrat_adex,cyan,2,328,-0.3995,50.0,125.1,2025-03-28 08:32:00,2025-07-31,1,2025-07-30,False,3,259.3333333333333,380,2025-03-28 08:32:00,2024-11-18 14:37:00,129.0,1,0.1765312701482914,0.0,8.0,76.33333333333333,1.0,,,,,,,,,3,4,13,-1.7521099,2025-03-28 08:32:00,2025-07-29 05:56:57.705917355,122.0,2025-03-28 08:32:00,0.0,$CT003201$
$3NP03120$,$3NP03120$,contrat_adex,magenta,2,328,-0.3746,57.0,152.1,2025-03-28 08:32:00,2025-08-27,-8,2025-09-04,False,3,259.6666666666667,380,2025-03-28 08:32:00,2024-11-20 14:37:00,127.0,1,0.16946837817244,0.0,7.0,74.66666666666667,1.0,,,,,,,,,3,4,13,-7.086796,2025-03-28 08:32:00,2025-08-19 21:55:00.842285154,144.0,2025-03-28 08:32:00,0.0,$CT003201$
$3NP03120$,$3NP03120$,contrat_adex,yellow,2,328,-0.3297,84.0,254.8,2025-03-28 08:32:00,2025-12-08,-11,2025-12-19,False,3,259.6666666666667,380,2025-03-28 08:32:00,2025-02-08 14:32:00,47.0,1,0.142518023562511,0.0,7.0,71.66666666666667,1.0,,,,,,,,,3,4,13,-10.512416,2025-03-28 08:32:00,2025-11-27 11:42:07.267456055,244.0,2025-03-28 08:32:00,0.0,$CT003201$
$3TE05641$,$3TE05641$,contrat_adex,black,1,556,-0.5009,49.0,97.8,2024-08-14 10:14:00,2024-11-20,0,2024-11-20,False,2,125.5,141,2024-08-14 10:14:00,2024-04-26 14:44:00,109.0,1,0.4823788546255506,0.0,4.0,59.0,1.0,,,,,,,,,8,2,33,-2.517632,2024-08-14 10:14:00,2024-11-17 11:34:36.594543456,95.0,2024-08-14 10:14:00,0.0,$CT002904$
$3TE05641$,$3TE05641$,contrat_adex,cyan,0,556,-0.161,66.0,300.0,2024-08-14 10:14:00,2025-06-10,1,2025-06-09,False,1,251.0,251,2024-08-14 10:14:00,,,0,0.1184210526315789,0.0,2.0,28.0,1.0,,,,,,,,,8,2,33,-5.029139,2024-08-14 10:14:00,2025-06-04 23:18:02.386779789,294.0,2024-08-14 10:14:00,0.0,$CT002904$
$3TE05641$,$3TE05641$,contrat_adex,magenta,0,556,-0.1269,64.0,300.0,2024-08-14 10:14:00,2025-06-10,-8,2025-06-18,False,1,251.0,251,2024-08-14 10:14:00,,,0,0.1228070175438596,0.0,2.0,29.0,1.0,,,,,,,,,8,2,33,-7.499068,2024-08-14 10:14:00,2025-06-02 12:01:20.543518068,292.0,2024-08-14 10:14:00,0.0,$CT002904$
$3TE05641$,$3TE05641$,contrat_adex,yellow,0,556,-0.1745,61.0,300.0,2024-08-14 10:14:00,2025-06-10,-11,2025-06-21,False,1,251.0,251,2024-08-14 10:14:00,,,0,0.1271929824561403,0.0,2.0,31.0,1.0,,,,,,,,,8,2,33,-7.5462804,2024-08-14 10:14:00,2025-06-02 10:53:21.374816897,292.0,2024-08-14 10:14:00,0.0,$CT002904$
$4BU06875$,$4BU06875$,contrat_adex,black,6,40,-0.5145,3.0,5.8,2026-01-13 19:01:00,2026-01-19,0,2026-01-19,True,7,144.85714285714286,344,2026-01-13 19:01:00,2025-10-28 14:21:00,77.0,1,1.2857839982839985,1.0,10.0,83.71428571428571,1.0,,,,,,,,,1,1,3,-0.24477433,2026-01-13 19:01:00,2026-01-18 18:07:31.498174667,4.0,2026-01-13 19:01:00,0.0,$CT001604$
