serial,serial_norm,relation_type,color,cycle_id,points_used,slope_pct_per_day,level_now_pct,days_left_est,last_seen,stockout_date,offset_days,reorder_date,should_order_now
$$,$$,contrat_adex,black,74,125,-34.5532,0.0,0.0,2025-11-04 14:18:00,2025-11-04,0,2025-11-04,True
$$,$$,contrat_adex,black,75,48,-26.4637,0.0,0.0,2025-11-04 22:19:00,2025-11-04,0,2025-11-04,True
$$,$$,contrat_adex,black,76,110,-3.626,0.0,0.0,2025-11-05 22:10:00,2025-11-05,0,2025-11-05,True
$$,$$,contrat_adex,black,77,310,,0.0,,2025-11-08 06:03:00,,0,,False
$$,$$,contrat_adex,black,78,39,-280.436,0.0,0.0,2025-11-08 14:07:00,2025-11-08,0,2025-11-08,True
$$,$$,contrat_adex,black,79,2,,0.0,,2025-11-08 14:07:00,,0,,False
$$,$$,contrat_adex,black,80,44,-5.3334,0.0,0.0,2025-11-09 05:41:00,2025-11-09,0,2025-11-09,True
$$,$$,contrat_adex,black,81,20,-28.7909,0.0,0.0,2025-11-09 22:12:00,2025-11-09,0,2025-11-09,True
$$,$$,contrat_adex,black,82,76,-18.6349,0.0,0.0,2025-11-10 13:51:00,2025-11-10,0,2025-11-10,True
$$,$$,contrat_adex,black,83,37,-3.7156,0.0,0.0,2025-11-11 14:17:00,2025-11-11,0,2025-11-11,True
$$,$$,contrat_adex,black,84,4,,0.0,,2025-11-11 14:22:00,,0,,False
$$,$$,contrat_adex,black,85,19,-19.8695,0.0,0.0,2025-11-11 22:13:00,2025-11-11,0,2025-11-11,True
$$,$$,contrat_adex,black,86,330,-1.9762,0.0,0.0,2025-11-13 17:25:00,2025-11-13,0,2025-11-13,True
$$,$$,contrat_adex,black,87,58,-99.0548,0.0,0.0,2025-11-14 14:19:00,2025-11-14,0,2025-11-14,True
$$,$$,contrat_adex,black,88,2,,0.0,,2025-11-14 14:19:00,,0,,False
$$,$$,contrat_adex,black,89,12,-160.393,0.0,0.0,2025-11-14 19:07:00,2025-11-14,0,2025-11-14,True
$$,$$,contrat_adex,black,90,125,-3.8089,0.0,0.0,2025-11-16 10:24:00,2025-11-16,0,2025-11-16,True
$$,$$,contrat_adex,black,91,7,,0.0,,2025-11-16 14:43:00,,0,,False
$$,$$,contrat_adex,black,92,63,-31.1447,0.0,0.0,2025-11-17 11:58:00,2025-11-17,0,2025-11-17,True
$$,$$,contrat_adex,black,93,23,-4020.4556,0.0,0.0,2025-11-17 14:28:00,2025-11-17,0,2025-11-17,True
$$,$$,contrat_adex,black,94,45,-7.4134,0.0,0.0,2025-11-19 05:51:00,2025-11-19,0,2025-11-19,True
$$,$$,contrat_adex,black,95,124,-13.8892,0.0,0.0,2025-11-19 14:15:00,2025-11-19,0,2025-11-19,True
$$,$$,contrat_adex,black,96,60,-9.8509,0.0,0.0,2025-11-20 06:19:00,2025-11-20,0,2025-11-20,True
$$,$$,contrat_adex,black,97,3,,0.0,,2025-11-20 06:19:00,,0,,False
$$,$$,contrat_adex,black,98,9,-212.7142,0.0,0.0,2025-11-20 13:24:00,2025-11-20,0,2025-11-20,True
$$,$$,contrat_adex,black,99,125,-8.9247,0.0,0.0,2025-11-21 13:05:00,2025-11-21,0,2025-11-21,True
