serial_display,color,last_update,last_pct
106714,cyan,2026-01-30 14:34:00,84
106714,magenta,2026-01-30 14:34:00,84
106714,yellow,2026-01-30 14:34:00,86
107189,black,2026-01-30 14:39:00,69
107189,cyan,2026-01-30 14:39:00,81
107189,magenta,2026-01-30 14:39:00,80
107189,yellow,2026-01-30 14:39:00,82
107190,black,2026-01-29 15:46:00,92
107190,cyan,2026-01-29 15:46:00,97
107190,magenta,2026-01-29 15:46:00,96
107190,yellow,2026-01-29 15:46:00,97
107372,black,2026-01-30 12:50:00,0
107372,cyan,2026-01-30 12:50:00,0
107372,magenta,2026-01-30 12:50:00,0
107372,yellow,2026-01-30 12:50:00,0
10772584,black,2025-10-15 10:02:00,0
10772584,cyan,2025-10-15 10:02:00,0
10772584,magenta,2025-10-15 10:02:00,0
10772584,yellow,2025-10-15 10:02:00,0
111546,black,2026-01-30 14:39:00,87
111546,cyan,2026-01-30 14:39:00,82
111546,magenta,2026-01-30 14:39:00,85
111546,yellow,2026-01-30 14:39:00,84
111547,black,2026-01-30 14:39:00,99
111547,cyan,2026-01-30 14:39:00,60
111547,magenta,2026-01-30 14:39:00,62
111547,yellow,2026-01-30 14:39:00,88
111548,black,2026-01-30 14:39:00,32
111548,cyan,2026-01-30 14:39:00,80
111548,magenta,2026-01-30 14:39:00,66
111548,yellow,2026-01-30 14:39:00,61
111553,black,2026-01-30 14:37:00,42
111553,cyan,2026-01-30 14:37:00,34
111553,magenta,2026-01-30 14:37:00,40
111553,yellow,2026-01-30 14:37:00,34
111554,black,2026-01-30 14:37:00,93
111554,cyan,2026-01-30 14:37:00,95
111554,magenta,2026-01-30 14:37:00,95
111554,yellow,2026-01-30 14:37:00,95
111555,black,2026-01-30 14:37:00,53
111555,cyan,2026-01-30 14:37:00,91
111555,magenta,2026-01-30 14:37:00,91
111555,yellow,2026-01-30 14:37:00,90
111557,black,2026-01-30 14:37:00,63
111557,cyan,2026-01-30 14:37:00,86
111557,magenta,2026-01-30 14:37:00,85
111557,yellow,2026-01-30 14:37:00,85
111698,black,2026-01-30 14:40:00,27
111698,cyan,2026-01-30 14:40:00,47
111698,magenta,2026-01-30 14:40:00,50
111698,yellow,2026-01-30 14:40:00,63
111727,black,2026-01-30 14:25:00,97
111727,cyan,2026-01-30 14:25:00,98
111727,magenta,2026-01-30 14:25:00,98
111727,yellow,2026-01-30 14:25:00,99
111728,black,2026-01-30 14:42:00,44
111728,cyan,2026-01-30 14:42:00,75
111728,magenta,2026-01-30 14:42:00,81
111728,yellow,2026-01-30 14:42:00,80
111729,black,2025-08-20 11:07:00,100
111729,cyan,2025-08-20 11:07:00,100
111729,magenta,2025-08-20 11:07:00,100
111729,yellow,2025-08-20 11:07:00,100
111749,black,2026-01-30 14:43:00,89
111749,cyan,2026-01-30 14:43:00,94
111749,magenta,2026-01-30 14:43:00,93
111749,yellow,2026-01-30 14:43:00,95
111774,black,2026-01-30 14:43:00,89
111774,cyan,2026-01-30 14:43:00,95
111774,magenta,2026-01-30 14:43:00,95
111774,yellow,2026-01-30 14:43:00,95
111775,black,2026-01-30 14:43:00,96
111775,cyan,2026-01-30 14:43:00,97
111775,magenta,2026-01-30 14:43:00,96
111775,yellow,2026-01-30 14:43:00,97
111941,black,2026-01-27 16:12:00,0
111941,cyan,2026-01-27 16:12:00,0
111941,magenta,2026-01-27 16:12:00,0
111941,yellow,2026-01-27 16:12:00,0
11501900,black,2026-01-30 14:33:00,0
11501900,cyan,2026-01-30 14:33:00,0
11501900,magenta,2026-01-30 14:33:00,0
11501900,yellow,2026-01-30 14:33:00,0
115506,black,2026-01-30 14:26:00,42
115506,cyan,2026-01-30 14:26:00,85
115506,magenta,2026-01-30 14:26:00,84
